[Sun Aug 17 13:11:17.864965 2014] [:error] [pid 4362] [client 127.0.0.1:48349] PHP Fatal error:  Class 'Way\\Generators\\GeneratorsServiceProvider' not found in /home/nightzpy/proyectos/web/presentatenlaweb/bootstrap/compiled.php on line 4415
[Sun Aug 24 16:11:49.936492 2014] [:error] [pid 5120] [client 127.0.0.1:41344] PHP Parse error:  syntax error, unexpected ';' in /home/nightzpy/proyectos/web/presentatenlaweb/app/routes.php on line 78
[Sun Aug 24 18:30:25.101503 2014] [:error] [pid 11894] [client 127.0.0.1:42103] PHP Parse error:  syntax error, unexpected end of file, expecting variable (T_VARIABLE) or ${ (T_DOLLAR_OPEN_CURLY_BRACES) or {$ (T_CURLY_OPEN) in /home/nightzpy/proyectos/web/presentatenlaweb/app/lang/es/enlaces.php on line 23
[Sun Aug 24 18:30:49.119530 2014] [:error] [pid 12214] [client 127.0.0.1:42113] PHP Parse error:  syntax error, unexpected end of file, expecting variable (T_VARIABLE) or ${ (T_DOLLAR_OPEN_CURLY_BRACES) or {$ (T_CURLY_OPEN) in /home/nightzpy/proyectos/web/presentatenlaweb/app/lang/es/enlaces.php on line 23
[Sun Aug 24 18:31:15.779933 2014] [:error] [pid 12186] [client 127.0.0.1:42123] PHP Parse error:  syntax error, unexpected end of file, expecting variable (T_VARIABLE) or ${ (T_DOLLAR_OPEN_CURLY_BRACES) or {$ (T_CURLY_OPEN) in /home/nightzpy/proyectos/web/presentatenlaweb/app/lang/es/enlaces.php on line 23
[Sun Aug 24 18:31:22.047682 2014] [:error] [pid 11894] [client 127.0.0.1:42130] PHP Parse error:  syntax error, unexpected end of file, expecting variable (T_VARIABLE) or ${ (T_DOLLAR_OPEN_CURLY_BRACES) or {$ (T_CURLY_OPEN) in /home/nightzpy/proyectos/web/presentatenlaweb/app/lang/es/enlaces.php on line 23
[Sun Aug 24 18:31:35.046105 2014] [:error] [pid 12186] [client 127.0.0.1:42135] PHP Parse error:  syntax error, unexpected end of file, expecting variable (T_VARIABLE) or ${ (T_DOLLAR_OPEN_CURLY_BRACES) or {$ (T_CURLY_OPEN) in /home/nightzpy/proyectos/web/presentatenlaweb/app/lang/es/enlaces.php on line 23
[Sun Aug 24 18:32:08.539730 2014] [:error] [pid 11894] [client 127.0.0.1:42140] PHP Parse error:  syntax error, unexpected end of file, expecting variable (T_VARIABLE) or ${ (T_DOLLAR_OPEN_CURLY_BRACES) or {$ (T_CURLY_OPEN) in /home/nightzpy/proyectos/web/presentatenlaweb/app/lang/es/enlaces.php on line 23
[Sun Aug 24 18:32:54.677076 2014] [:error] [pid 12214] [client 127.0.0.1:42148] PHP Parse error:  syntax error, unexpected end of file, expecting variable (T_VARIABLE) or ${ (T_DOLLAR_OPEN_CURLY_BRACES) or {$ (T_CURLY_OPEN) in /home/nightzpy/proyectos/web/presentatenlaweb/app/lang/es/enlaces.php on line 23
[Sun Aug 24 18:33:42.724457 2014] [:error] [pid 10521] [client 127.0.0.1:42157] PHP Parse error:  syntax error, unexpected end of file, expecting variable (T_VARIABLE) or ${ (T_DOLLAR_OPEN_CURLY_BRACES) or {$ (T_CURLY_OPEN) in /home/nightzpy/proyectos/web/presentatenlaweb/app/lang/es/enlaces.php on line 23
[Sun Aug 24 18:37:02.599115 2014] [:error] [pid 12186] [client 127.0.0.1:42164] PHP Parse error:  syntax error, unexpected end of file, expecting variable (T_VARIABLE) or ${ (T_DOLLAR_OPEN_CURLY_BRACES) or {$ (T_CURLY_OPEN) in /home/nightzpy/proyectos/web/presentatenlaweb/app/lang/es/enlaces.php on line 23
[Sun Aug 24 18:37:18.831270 2014] [:error] [pid 12598] [client 127.0.0.1:42173] PHP Parse error:  syntax error, unexpected end of file, expecting variable (T_VARIABLE) or ${ (T_DOLLAR_OPEN_CURLY_BRACES) or {$ (T_CURLY_OPEN) in /home/nightzpy/proyectos/web/presentatenlaweb/app/lang/es/enlaces.php on line 23
[Mon Sep 15 12:53:02.984975 2014] [:error] [pid 4315] [client 127.0.0.1:44344] PHP Fatal error:  Call to undefined function contarPersonasPorSexoEvento() in /home/nightzpy/proyectos/web/calendario_eventos/app/controllers/EventController.php on line 127, referer: http://calendario.nightzpy.com:8080/mostrarEventos
[Mon Sep 15 13:06:50.532391 2014] [:error] [pid 4343] [client 127.0.0.1:44601] PHP Parse error:  syntax error, unexpected '}' in /home/nightzpy/proyectos/web/calendario_eventos/app/controllers/EventController.php on line 132, referer: http://calendario.nightzpy.com:8080/mostrarEventos
[Mon Sep 15 15:35:26.144714 2014] [:error] [pid 5371] [client 127.0.0.1:45981] PHP Parse error:  syntax error, unexpected ',' in /home/nightzpy/proyectos/web/calendario_eventos/app/controllers/EventController.php on line 165, referer: http://calendario.nightzpy.com:8080/mostrarEventos
[Mon Sep 15 15:35:48.603131 2014] [:error] [pid 5138] [client 127.0.0.1:45985] PHP Parse error:  syntax error, unexpected ',', expecting ']' in /home/nightzpy/proyectos/web/calendario_eventos/app/controllers/EventController.php on line 165, referer: http://calendario.nightzpy.com:8080/mostrarEventos
[Mon Sep 15 20:30:56.940971 2014] [:error] [pid 3948] [client 127.0.0.1:42700] PHP Fatal error:  Call to undefined method Illuminate\\Database\\Eloquent\\Collection::where() in /home/nightzpy/proyectos/web/calendario_eventos/app/controllers/MunicipioController.php on line 82, referer: http://calendario.nightzpy.com:8080/crearMunicipio
[Mon Sep 15 20:36:58.772534 2014] [:error] [pid 4760] [client 127.0.0.1:42798] PHP Parse error:  syntax error, unexpected '==' (T_IS_EQUAL) in /home/nightzpy/proyectos/web/calendario_eventos/app/controllers/MunicipioController.php on line 77, referer: http://calendario.nightzpy.com:8080/
[Mon Sep 15 22:05:23.016345 2014] [:error] [pid 5924] [client 127.0.0.1:44078] PHP Fatal error:  Call to undefined method Illuminate\\Database\\Eloquent\\Collection::verificarNombresMunicipio() in /home/nightzpy/proyectos/web/calendario_eventos/app/controllers/MunicipioController.php on line 82, referer: http://calendario.nightzpy.com:8080/crearMunicipio
[Mon Sep 15 22:14:53.954128 2014] [:error] [pid 5346] [client 127.0.0.1:44344] PHP Parse error:  syntax error, unexpected '*' in /home/nightzpy/proyectos/web/calendario_eventos/app/controllers/MunicipioController.php on line 80, referer: http://calendario.nightzpy.com:8080/crearEstado
[Mon Sep 15 22:23:15.558621 2014] [:error] [pid 5912] [client 127.0.0.1:44560] PHP Parse error:  syntax error, unexpected '>' in /home/nightzpy/proyectos/web/calendario_eventos/app/controllers/MunicipioController.php on line 82, referer: http://calendario.nightzpy.com:8080/crearEstado
[Mon Sep 15 23:38:47.834902 2014] [:error] [pid 6212] [client 127.0.0.1:45466] PHP Parse error:  syntax error, unexpected ';' in /home/nightzpy/proyectos/web/calendario_eventos/app/controllers/PersonaController.php on line 180, referer: http://calendario.nightzpy.com:8080/
